epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,547.15,0.80366,0.60202,0.87077,0.98293,1,0.99477,0.74346,0.93273,0.59657,0.91269,0.000973861,0.000973861,0.000973861
44,559.79,0.85761,0.6185,0.88182,0.99522,0.9984,0.995,0.74329,0.96813,0.59418,0.9217,0.000957358,0.000957358,0.000957358
45,572.455,0.84424,0.6323,0.87105,0.99175,0.99857,0.995,0.74162,1.01184,0.60979,0.93227,0.000940855,0.000940855,0.000940855
46,585.202,0.86477,0.64339,0.8605,0.98867,0.99859,0.995,0.74471,0.98043,0.6106,0.91825,0.000924352,0.000924352,0.000924352
47,598.012,0.85905,0.62418,0.84262,0.98951,0.99864,0.995,0.74906,0.93162,0.5973,0.90515,0.000907848,0.000907848,0.000907848
48,610.63,0.82863,0.59654,0.86777,0.99359,0.99869,0.995,0.74013,0.97382,0.57228,0.9316,0.000891345,0.000891345,0.000891345
49,623.18,0.81664,0.59862,0.87518,0.99276,0.98837,0.99477,0.74485,0.9483,0.57171,0.92508,0.000874842,0.000874842,0.000874842
50,635.777,0.78863,0.60596,0.87629,0.99509,0.99848,0.995,0.75575,0.89752,0.55028,0.90507,0.000858338,0.000858338,0.000858338
51,648.598,0.76976,0.58121,0.85803,0.9931,0.99862,0.995,0.75724,0.89971,0.54679,0.90302,0.000841835,0.000841835,0.000841835
52,662.269,0.78365,0.58374,0.86202,0.99295,0.9991,0.995,0.74232,0.95056,0.56,0.92141,0.000825332,0.000825332,0.000825332
53,675.045,0.78147,0.55279,0.85916,0.99611,1,0.995,0.75768,0.91314,0.553,0.91569,0.000808828,0.000808828,0.000808828
54,687.732,0.75808,0.57437,0.85357,0.99855,1,0.995,0.75402,0.91629,0.55311,0.9181,0.000792325,0.000792325,0.000792325
55,700.409,0.78147,0.57615,0.85714,0.99809,1,0.995,0.75066,0.94186,0.54544,0.92385,0.000775822,0.000775822,0.000775822
56,713.051,0.76485,0.54603,0.85513,0.99645,1,0.995,0.74689,0.95705,0.53943,0.92196,0.000759318,0.000759318,0.000759318
57,725.615,0.749,0.56543,0.85514,0.99606,1,0.995,0.75811,0.90585,0.53404,0.90766,0.000742815,0.000742815,0.000742815
58,738.287,0.75049,0.55024,0.84645,0.99732,1,0.995,0.76508,0.88956,0.5312,0.90419,0.000726312,0.000726312,0.000726312
59,750.794,0.73624,0.53929,0.84013,0.99834,1,0.995,0.76324,0.90635,0.53098,0.91437,0.000709809,0.000709809,0.000709809
60,763.718,0.71244,0.51575,0.84057,0.99665,0.99916,0.995,0.75876,0.90544,0.52664,0.90988,0.000693305,0.000693305,0.000693305
61,776.478,0.75787,0.53849,0.85862,0.99522,0.99924,0.995,0.76624,0.89999,0.52471,0.90711,0.000676802,0.000676802,0.000676802
62,789.264,0.74601,0.52843,0.85942,0.99457,0.99917,0.995,0.76365,0.88847,0.52411,0.90206,0.000660299,0.000660299,0.000660299
63,801.876,0.76072,0.52596,0.84598,0.99375,0.99855,0.995,0.75564,0.90754,0.53056,0.90571,0.000643795,0.000643795,0.000643795
64,814.544,0.7168,0.52221,0.83205,0.9936,0.99853,0.995,0.75383,0.89927,0.52572,0.90657,0.000627292,0.000627292,0.000627292
65,827.31,0.71575,0.53832,0.84376,0.99397,0.99853,0.995,0.75507,0.88795,0.52665,0.90067,0.000610789,0.000610789,0.000610789
66,839.892,0.77242,0.52705,0.85286,0.99419,0.99859,0.995,0.75665,0.88283,0.52621,0.8996,0.000594286,0.000594286,0.000594286
67,852.266,0.7259,0.50968,0.85705,0.99357,0.99895,0.995,0.76013,0.8787,0.52357,0.90283,0.000577782,0.000577782,0.000577782
68,865.293,0.76552,0.51524,0.85236,0.99217,0.99894,0.995,0.75811,0.89093,0.52738,0.90657,0.000561279,0.000561279,0.000561279
69,878.121,0.71597,0.52122,0.85122,0.99311,0.99896,0.995,0.7597,0.89212,0.52496,0.90281,0.000544776,0.000544776,0.000544776
70,890.702,0.69942,0.51048,0.84659,0.99497,0.99895,0.995,0.75746,0.89863,0.52906,0.90225,0.000528272,0.000528272,0.000528272
